BPM,KEY,METER,VOCAL GENDER,VOCAL PRESENCE,main_genres,sub_genres,FREE GENRES,simple_moods,moods,character ,MOVEMENT ,VALENCE,AROUSAL,ENERGY LEVEL,EMOTIONAL PROFILE,ENERGY DYNAMICS,EMOTIONAL DYNAMICS,INSTRUMENTS ,INSTRUMENTS PRESENCE,BRAND VALUES ,AUGMENTED KEYWORDS,"AUTO-DESCRIPTION
*(needs to be booked separately)",MUSICAL ERA,"LYRIC TAGS
*(needs to be booked separately)","LYRIC EXPLICITNESS
*(needs to be booked separately)",LYRIC AI TRANSCRIPT,VOICE OVER,"MOST SIGNIFICANT PART
(The most striking part of the song)"
,,,,,,,Arkansas Hip Hop,,,,,,,,,,,,,Grandiose,Catastrophe,,,,,,,
,,,,,,,Arkansas Indie,,,,,,,,,,,,,Gripping,Catchy,,,,,,,
,,,,,,,Arkansas Metal,,,,,,,,,,,,,Gritty,Catwalk,,,,,,,
,,,,,,,Armenian Folk,,,,,,,,,,,,,Groove,Cautious,,,,,,,
,,,,,,,Armenian Hip Hop,,,,,,,,,,,,,Groovy,Celebratory,,,,,,,
,,,,,,,Armenian Pop,,,,,,,,,,,,,Growing,Celebrity,,,,,,,
,,,,,,,Arpa Grande,,,,,,,,,,,,,Happy Go Lucky,Celestial,,,,,,,
,,,,,,,Arpa Paraguaya,,,,,,,,,,,,,Harmonical,Celtic,,,,,,,
,,,,,,,Arrocha,,,,,,,,,,,,,Health,Ceremonial,,,,,,,
,,,,,,,Arrochadeira,,,,,,,,,,,,,Healthy,Challenge,,,,,,,
,,,,,,,Art Pop,,,,,,,,,,,,,Heart Warming,Chamber Music,,,,,,,
,,,,,,,Art Punk,,,,,,,,,,,,,Heartfelt,Chamber Orchestra,,,,,,,
,,,,,,,Art Rock,,,,,,,,,,,,,Heartwarming,Chanting,,,,,,,
,,,,,,,Art Song,,,,,,,,,,,,,Heavenly,Chaos,,,,,,,
